# Messreihen
# Nr,Temp_C,Speed_mm_s,Dauer_s
# 1,200.0,1.16,380.0
#
sample_seq,millis_ms,kraft_N,temperatur,motor_geschwindigkeit,error_flags,sd_write_us,loop_duration_us
231,477266,2.151,199.98,1.16,0,0,7
232,477316,2.274,199.91,1.16,0,0,6
233,477366,2.266,199.91,1.16,0,0,7
234,477416,2.310,199.91,1.16,0,0,3
235,477466,2.312,199.91,1.16,0,0,29
236,477516,2.168,199.94,1.16,0,0,21
237,477566,2.086,199.94,1.16,0,0,3
238,477616,2.142,199.94,1.16,0,0,7
239,477666,2.250,200.02,1.16,0,0,9
240,477716,2.299,200.02,1.16,0,0,3
241,477766,2.192,200.02,1.16,0,0,11
242,477816,2.181,200.02,1.16,0,0,3
243,477866,2.153,200.02,1.16,0,0,13
244,477916,2.083,200.02,1.16,0,0,3
245,477966,2.161,200.02,1.16,0,0,3
246,478016,2.266,199.98,1.16,0,0,7
247,478066,2.268,199.98,1.16,0,0,3
248,478116,2.214,199.98,1.16,0,0,3
249,478166,2.175,200.02,1.16,0,0,3
250,478216,2.156,200.02,1.16,0,0,9
251,478266,2.146,200.02,1.16,0,0,3
252,478316,2.175,200.05,1.16,0,0,3
253,478366,2.131,200.05,1.16,0,0,3
254,478416,2.112,200.05,1.16,0,0,13
255,478466,2.176,200.02,1.16,0,0,3
256,478516,2.206,200.02,1.16,0,0,20
257,478566,2.139,200.02,1.16,0,0,7
258,478616,2.183,200.02,1.16,0,0,3
259,478666,2.213,199.98,1.16,0,0,5
260,478716,2.184,199.98,1.16,0,0,7
261,478766,2.155,199.98,1.16,0,0,2
262,478816,2.174,199.98,1.16,0,0,13
263,478866,2.192,199.98,1.16,0,0,3
264,478916,2.167,199.98,1.16,0,0,7
265,478966,2.151,199.91,1.16,0,0,5
266,479016,2.118,199.91,1.16,0,0,7
267,479066,2.063,199.91,1.16,0,0,7
268,479116,2.023,199.98,1.16,0,0,5
269,479166,2.062,199.98,1.16,0,0,3
270,479216,2.131,199.98,1.16,0,0,7
271,479266,2.196,199.98,1.16,0,0,3
272,479316,2.231,200.05,1.16,0,0,3
273,479366,2.190,200.05,1.16,0,0,3
274,479416,2.156,200.05,1.16,0,0,3
275,479466,2.120,200.05,1.16,0,0,3
276,479516,2.077,200.05,1.16,0,0,19
277,479566,2.099,200.05,1.16,0,0,11
278,479616,2.215,199.98,1.16,0,0,9
279,479666,2.272,199.98,1.16,0,0,3
280,479716,2.217,199.98,1.16,0,0,3
281,479766,2.138,199.98,1.16,0,0,3
282,479816,2.073,199.98,1.16,0,0,3
283,479866,2.042,199.98,1.16,0,0,3
284,479916,2.016,199.98,1.16,0,0,3
285,479966,2.089,200.02,1.16,0,0,3
286,480016,2.173,200.02,1.16,0,0,7
287,480066,2.197,200.02,1.16,0,0,3
288,480116,2.178,199.98,1.16,0,0,2
289,480166,2.102,199.98,1.16,0,0,3
290,480216,2.060,199.98,1.16,0,0,3
291,480266,2.041,199.98,1.16,0,0,3
292,480316,2.086,199.98,1.16,0,0,3
293,480366,2.121,199.98,1.16,0,0,3
294,480416,2.128,200.05,1.16,0,0,3
295,480466,2.071,200.05,1.16,0,0,2
296,480516,2.064,200.05,1.16,0,0,3
297,480566,2.115,200.05,1.16,0,0,19
298,480616,2.123,199.98,1.16,0,0,9
299,480666,2.099,199.98,1.16,0,0,2
300,480716,2.043,199.98,1.16,0,17873,3
301,480766,2.100,199.98,1.16,0,0,3
302,480816,2.201,199.98,1.16,0,0,7
303,480866,2.179,199.98,1.16,0,0,3
304,480916,2.183,200.02,1.16,0,0,3
305,480966,2.105,200.02,1.16,0,0,3
306,481016,2.002,200.02,1.16,0,0,3
307,481066,1.996,199.91,1.16,0,0,3
308,481116,2.002,199.91,1.16,0,0,3
309,481166,2.002,199.91,1.16,0,0,2
310,481216,2.084,199.91,1.16,0,0,7
311,481266,2.084,200.02,1.16,0,0,3
312,481316,2.052,200.02,1.16,0,0,3
313,481366,2.012,200.02,1.16,0,0,2
314,481416,1.989,200.09,1.16,0,0,3
315,481466,2.032,200.09,1.16,0,0,3
316,481516,2.050,200.09,1.16,0,0,17
317,481566,2.086,200.09,1.16,0,0,3
318,481616,2.161,200.09,1.16,0,0,7
319,481666,2.173,200.09,1.16,0,0,3
320,481716,2.080,200.02,1.16,0,0,2
321,481766,2.029,200.02,1.16,0,0,3
322,481816,2.005,200.02,1.16,0,0,3
323,481866,2.048,200.02,1.16,0,0,3
324,481916,2.017,200.05,1.16,0,0,3
325,481966,2.044,200.05,1.16,0,0,3
326,482016,2.113,200.05,1.16,0,0,7
327,482066,2.158,200.02,1.16,0,0,3
328,482116,2.137,200.02,1.16,0,0,3
329,482166,2.053,200.02,1.16,0,0,3
330,482216,2.029,200.05,1.16,0,0,3
331,482266,2.011,200.05,1.16,0,0,3
332,482316,1.993,200.05,1.16,0,0,3
333,482366,2.033,200.05,1.16,0,0,2
334,482416,2.061,200.02,1.16,0,0,7
335,482466,2.033,200.02,1.16,0,0,3
336,482516,2.028,200.02,1.16,0,0,19
337,482566,1.999,200.02,1.16,0,0,12
338,482616,1.975,200.02,1.16,0,0,3
339,482666,1.943,200.02,1.16,0,0,3
340,482716,1.926,199.98,1.16,0,0,5
341,482766,2.048,199.98,1.16,0,0,3
342,482816,2.102,199.98,1.16,0,0,13
343,482866,2.075,200.09,1.16,0,0,5
344,482916,2.125,200.09,1.16,0,0,3
345,482966,2.096,200.09,1.16,0,0,3
346,483016,2.002,200.09,1.16,0,0,3
347,483066,1.947,200.05,1.16,0,0,3
348,483116,1.937,200.05,1.16,0,0,3
349,483166,2.057,200.05,1.16,0,0,3
350,483216,2.096,200.05,1.16,0,0,7
351,483266,2.050,200.05,1.16,0,0,3
352,483316,2.077,200.05,1.16,0,0,3
353,483366,2.030,199.98,1.16,0,0,3
354,483416,1.975,199.98,1.16,0,0,3
355,483466,1.945,199.98,1.16,0,0,2
356,483516,1.961,200.09,1.16,0,0,10
357,483566,2.051,200.09,1.16,0,0,3
358,483616,2.015,200.09,1.16,0,0,2
359,483666,2.007,200.09,1.16,0,0,2
360,483716,1.999,200.02,1.16,0,0,3
361,483766,1.978,200.02,1.16,0,0,3
362,483816,1.951,200.02,1.16,0,0,3
363,483866,1.966,199.98,1.16,0,0,3
364,483916,1.976,199.98,1.16,0,0,3
365,483966,2.028,199.98,1.16,0,0,3
366,484016,2.041,199.98,1.16,0,0,7
367,484066,2.011,199.98,1.16,0,0,3
368,484116,2.057,199.98,1.16,0,0,3
369,484166,2.035,200.05,1.16,0,0,3
370,484216,2.003,200.05,1.16,0,0,3
371,484266,2.011,200.05,1.16,0,0,3
372,484316,2.057,200.05,1.16,0,0,3
373,484366,2.070,200.02,1.16,0,0,3
374,484416,2.047,200.02,1.16,0,0,3
375,484466,2.039,200.02,1.16,0,0,3
376,484516,2.103,199.98,1.16,0,0,21
377,484566,2.015,199.98,1.16,0,0,3
378,484616,1.941,199.98,1.16,0,0,3
379,484666,1.949,200.05,1.16,0,0,3
380,484716,1.964,200.05,1.16,0,0,3
381,484766,2.006,200.05,1.16,0,0,3
382,484816,2.029,199.98,1.16,0,0,7
383,484866,2.032,199.98,1.16,0,0,3
384,484916,2.036,199.98,1.16,0,0,3
385,484966,2.002,199.98,1.16,0,0,3
386,485016,1.995,200.05,1.16,0,0,3
387,485066,2.018,200.05,1.16,0,0,3
388,485116,2.087,200.05,1.16,0,0,3
389,485166,2.155,199.98,1.16,0,0,3
390,485216,2.105,199.98,1.16,0,0,7
391,485266,1.985,199.98,1.16,0,0,2
392,485316,1.948,199.98,1.16,0,0,3
393,485366,1.959,199.98,1.16,0,0,3
394,485416,1.932,199.98,1.16,0,0,3
395,485466,1.942,200.02,1.16,0,0,3
396,485516,2.026,200.02,1.16,0,0,21
397,485566,2.100,200.02,1.16,0,0,3
398,485616,2.102,200.02,1.16,0,0,7
399,485666,2.077,199.98,1.16,0,0,3
400,485716,2.047,199.98,1.16,0,17743,3
401,485766,1.990,199.98,1.16,0,0,2
402,485816,1.979,200.05,1.16,0,0,2
403,485866,2.043,200.05,1.16,0,0,3
404,485916,2.079,200.05,1.16,0,0,3
405,485966,2.031,200.02,1.16,0,0,3
406,486016,2.055,200.02,1.16,0,0,7
407,486066,2.041,200.02,1.16,0,0,3
408,486116,1.940,200.02,1.16,0,0,3
